item_id,item_name
20,Team Fortress Classic
220,Half-Life 2
240,Counter-Strike: Source
280,Half-Life: Source
550,Left 4 Dead 2
620,Portal 2
730,Counter-Strike: Global Offensive
1250,Killing Floor
1280,Darkest Hour: Europe '44-'45
1670,Iron Warriors: T-72 Tank Command
2300,DOOM II: Hell on Earth
2870,X Rebirth
3920,Sid Meier's Pirates!
4000,Garry's Mod
4560,Company of Heroes
6910,Deus Ex: Game of the Year Edition
7730,X-COM: Interceptor
8870,BioShock Infinite
8930,Sid Meier's Civilization V
9050,DOOM 3
17710,Nuclear Dawn
22300,Fallout 3
22330,The Elder Scrolls IV: Oblivion 
22380,Fallout: New Vegas
24960,Battlefield: Bad Company 2
25890,Hearts of Iron III
34900,Bad Rats
35450,Rising Storm/Red Orchestra 2 Multiplayer
38410,Fallout 2
42700,Call of Duty: Black Ops
48700,Mount & Blade: Warband
49520,Borderlands 2
50300,Spec Ops: The Line
55230,Saints Row: The Third
65980,Sid Meier's Civilization: Beyond Earth
70600,Worms Ultimate Mayhem
105600,Terraria
107410,Arma 3
108600,Project Zomboid
113020,Monaco
113200,The Binding of Isaac
200210,Realm of the Mad God
200510,XCOM: Enemy Unknown
203140,Hitman: Absolution
204300,Awesomenauts
204880,Sins of a Solar Empire: Rebellion
208090,Loadout
208650,Batman™: Arkham Knight
209080,Guns of Icarus Online
209100,Resident Evil™: Operation Raccoon City
209870,Blacklight: Retribution
211420,Dark Souls: Prepare to Die Edition
211820,Starbound
212070,Star Conflict
214490,Alien: Isolation
214950,Total War: ROME II - Emperor Edition
216260,Don Bradman Cricket 14
218230,PlanetSide 2
218680,Scribblenauts Unlimited
219150,Hotline Miami
219640,Chivalry: Medieval Warfare
219830,King Arthur's Gold
220200,Kerbal Space Program
220240,Far Cry® 3
220440,DmC Devil May Cry
221100,DayZ
221380,Age of Empires II: HD Edition
222880,Insurgency
223470,POSTAL 2
223710,Cry of Fear
224260,No More Room in Hell
224480,Octodad: Dadliest Catch
225260,Brütal Legend
225540,Just Cause 3
227940,Heroes & Generals
230410,Warframe
232090,Killing Floor 2
233720,Surgeon Simulator
236110,Dungeon Defenders II
238010,Deus Ex: Human Revolution - Director's Cut
238320,Outlast
238460,BattleBlock Theater
242700,Injustice: Gods Among Us Ultimate Edition
242860,Verdun
245620,Tropico 5
246620,Plague Inc: Evolved
247240,Volgarr the Viking
248570,Toribash
249130,LEGO® MARVEL Super Heroes
250900,The Binding of Isaac: Rebirth
252490,Rust
252950,Rocket League
260160,The Last Tinker: City of Colors
262060,Darkest Dungeon
262410,World of Guns: Gun Disassembly
264120,Victory: The Age of Racing
264380,Narcissu 1st & 2nd
265550,Dead Rising 3
265630,Fistful of Frags
265930,Goat Simulator
270550,Yet Another Zombie Defense
271360,Industry Giant 2
271590,Grand Theft Auto V
273350,Evolve Stage 2
274190,Broforce
274920,FaceRig
274940,Depth
282070,This War of Mine
282140,SOMA
282440,Quake Live
283660,Rabbit Hole 3D: Steam Edition
287700,METAL GEAR SOLID V: THE PHANTOM PAIN
289650,Assassin's Creed Unity
291550,Brawlhalla
292140,FINAL FANTASY XIII-2
293500,Amazing World
297110,Cosmic DJ
298600,Lovely Planet
301190,Frederic: Resurrection of Music
301520,Robocraft
301640,Zombie Army Trilogy
301750,RADical ROACH Deluxe Edition
301910,Saints Row: Gat out of Hell
302830,BLOCKADE 3D
303210,The Beginner's Guide
304050,Trove
304240,Resident Evil / biohazard HD REMASTER
304930,Unturned
305620,The Long Dark
307780,Mortal Kombat X
310360,Higurashi When They Cry - Ch.1 Onikakushi
311210,Call of Duty: Black Ops III
311560,Assassin's Creed Rogue
313120,Stranded Deep
318220,Enforcer: Police Crime Action
319510,Five Nights at Freddy's
319630,Life Is Strange™
321980,Hardland
322170,Geometry Dash
322330,Don't Starve Together
323470,DRAGON BALL XENOVERSE
324570,Halo: Spartan Strike
325610,Total War: ATTILA
327890,I am Bread
329440,Sonic Lost World
332070,School of Dragons: How to Train Your Dragon
333930,Dirty Bomb
334070,Hektor
334230,Town of Salem
335330,Brick-Force
337320,Paint the Town Red
338000,Echoes+
339610,FreeStyle2: Street Basketball
342300,Zombie Kill of the Week - Reborn
344760,Reign Of Kings
346110,ARK: Survival Evolved
346900,AdVenture Capitalist
354240,"Please, Don’t Touch Anything"
355840,Survarium
356070,Commander Cool 2
368230,Kingdom: Classic
375220,Bitweb
376870,Minecraft: Story Mode - A Telltale Games Series
377160,Fallout 4
380600,Fishing Planet
384300,CPUCores :: Maximize Your FPS
388490,One Way To Die: Steam Edition
391540,Undertale
393380,Squad
393420,Hurtworld
397040,Sphere III: Enchanted World
417860,Emily is Away
